name;associate
Mark;Marcia
Tom;Tommie
Thomas;Tommie
Gene Simmons; Geneviève Simmons
Ben;Jamina
Jagmeet;Jagamata
Paul;Paula
Bill;Billie
Mahatma;Mahatina
Charles;Charlotte
George;Georgia
Georges;Georgia
Leo;Lea
Léo;Léa
Barack;Emma
Francis;Francine
Bob;Robin
Mao;Maïa
Usain;Aaliyah
Tim;Timeena
Jon;Johanna
Anthony;Antonia
Jean;Jeanette
David;Desiree
Stephen;Stephanie
Steve;Stevia
Galileo;Galilea
Edward;Edwina
Raúl;Paula
David;Desiree
John;Joanna
Tom;Tommy
Adam;Andrea
Timothy;Dorothy
Harold;Harriet
Jesus;Jesusa
Leonarda;Lea
William;Willa
Todd;Tammy
Walter;Waltina
Harry;Mary
Brian;Brianda
Barack;Tasya
Bob;Robin
Eric;Erica
Chris;Chrissie
Daniel;Danielle
Jeff;Jennifer
