name;babycount
AARON;768
ADAM;7910
ADRIAN;769
ADRIEN;1031
AHMAD;621
AHMED;1079
AIDEN;700
ALAIN;1507
ALBERT;797
ALEC;1181
ALEK;547
ALESSANDRO;712
ALEX;9455
ALEXANDER;3306
ALEXANDRE;36115
ALEXI;672
ALEXIS;13911
ALEXY;1233
AMINE;821
AMIR;542
ANAS;628
ANDRE;1940
ANDREW;3773
ANDY;1472
ANTHONY;13783
ANTOINE;15395
ANTONIN;598
ANTONIO;645
ANTONY;1430
ARNAUD;2593
ARTHUR;2291
AXEL;802
AYOUB;522
BASTIEN;977
BENJAMIN;10909
BENOIT;6783
BILLY;1237
BOBBY;802
BRADLEY;709
BRANDON;3700
BRIAN;1623
BRUNO;2861
BRYAN;2330
CALEB;1418
CAMERON;544
CARL;4155
CEDRIC;5816
CEDRICK;2226
CEDRIK;1343
CHAD;753
CHARLES;12978
CHARLES ANTOINE;629
CHARLES-ANTOINE;1545
CHARLES-ETIENNE;501
CHARLES-OLIVIER;894
CHARLIE;892
CHRISTIAN;4632
CHRISTOPHE;2940
CHRISTOPHER;7835
CLAUDE;957
CLEMENT;976
CLOVIS;549
COLIN;983
COREY;525
DAMIEN;2086
DANICK;949
DANIEL;8338
DANNY;3551
DANY;4373
DAVE;4674
DAVID;23871
DENIS;1393
DERECK;879
DEREK;2780
DIDIER;526
DIEGO;697
DIMITRI;509
DOMINIC;6373
DOMINIK;502
DOMINIQUE;1949
DONOVAN;570
DYLAN;4423
EDOUARD;5001
EDWARD;1117
ELIAS;1085
ELIE;1655
ELIOT;1597
ELIOTT;1308
ELLIOT;3225
ELLIOTT;666
ELOI;1654
EMANUEL;553
EMERIC;504
EMERICK;659
EMILE;8189
EMMANUEL;2903
EMRICK;1050
ENZO;799
ERIC;12218
ERIK;854
ESTEBAN;905
ETHAN;2336
ETIENNE;9954
EVAN;1901
FABRICE;547
FELIX;15894
FELIX ANTOINE;605
FELIX-ANTOINE;1103
FLORENT;508
FRANCIS;15378
FRANCOIS;10067
FREDERIC;9807
FREDERICK;3696
FREDERIK;1578
GABRIEL;26473
GAEL;636
GEORGE;1160
GEORGES;619
GREGOIRE;510
GREGORY;1210
GUILLAUME;17127
HAMZA;714
HASSAN;519
HAYDEN;930
HENRI;1777
HENRY;505
HUBERT;1732
HUGO;6385
HUGUES;550
IBRAHIM;815
ISAAC;2880
ISMAEL;881
JACK;791
JACKSON;623
JACOB;11365
JACQUES;637
JAKE;1017
JAKOB;746
JAMES;4731
JASMIN;1118
JASON;6216
JAYDEN;2391
JAYSON;794
JEAN;1481
JEAN CHRISTOPHE;959
JEAN-CHRISTOPHE;679
JEAN FRANCOIS;8661
JEAN-FRANCOIS;1124
JEAN LUC;516
JEAN MARC;520
JEAN MICHEL;2066
JEAN PHILIPPE;5850
JEAN-PHILIPPE;982
JEAN PIERRE;646
JEAN SEBASTIEN;1100
JEAN SIMON;718
JEFF;960
JEFFREY;2276
JEREMI;901
JEREMIE;5749
JEREMY;12025
JEROME;4743
JESSE;1653
JESSY;2400
J FRANCOIS;936
JIMMY;4931
JOCELYN;896
JOEL;3531
JOEY;2842
JOHN;1385
JOHNNY;721
